District,District Code,2019-20,2020-21,2021-22,2022-23,2023-24
Regional School District 16,2160012,96.0,94.5,94.6,93.7,93.3
Regional School District 17,2170012,92.7,97.7,97.8,94.8,96.4
Regional School District 18,2180012,96.1,94.9,93.7,98.1,95.4
Regional School District 19,2190012,93.6,92.8,92.3,92.7,93.7
Ridgefield School District,1180011,97.5,95.9,95.9,96.2,95.9
Rocky Hill School District,1190011,92.9,96.8,94.4,92.8,95.0
Seymour School District,1240011,91.9,91.7,86.3,85.4,86.4
Shelton School District,1260011,94.9,89.9,85.6,89.7,91.5
Simsbury School District,1280011,95.6,98.4,96.8,93.8,96.2
Somers School District,1290011,94.3,97.5,99.1,96.5,92.1
South Windsor School District,1320011,95.8,95.3,96.8,96.5,97.2
Southington School District,1310011,94.1,95.6,94.1,93.5,91.3
Stafford School District,1340011,91.5,95.5,97.7,90.1,98.1
Stamford Academy District,2820013,50.0,N/A,N/A,N/A,N/A
Stamford School District,1350011,86.4,85.4,83.1,78.2,79.5
Stonington School District,1370011,95.7,94.9,95.1,95.9,93.4
Stratford School District,1380011,92.4,92.7,93.3,87.1,90.9
Suffield School District,1390011,97.3,95.9,96.6,95.8,96.5
The Bridge Academy District,2690013,74.4,76.3,81.1,97.2,92.5
The Gilbert School District,9020022,88.7,89.5,84.7,88.0,84.1
The Woodstock Academy District,9030022,95.6,95.7,96.1,98.1,95.8
Thomaston School District,1400011,96.3,98.5,92.0,93.5,95.6
Thompson School District,1410011,85.4,78.6,79.4,88.0,90.0
Tolland School District,1420011,95.3,96.4,97.0,96.3,97.3
Torrington School District,1430011,80.1,78.5,82.0,80.0,76.4
Trumbull School District,1440011,95.1,97.4,95.2,96.3,95.5
Unified School District #1,3360015,2.5,3.8,*,0.0,*
Unified School District #2,3470015,*,*,*,*,N/A
Vernon School District,1460011,82.3,77.5,81.9,81.3,88.9
Wallingford School District,1480011,93.7,94.6,92.3,90.5,90.9
Waterbury School District,1510011,82.1,83.6,83.0,81.3,85.7
Waterford School District,1520011,86.9,92.1,93.9,89.4,91.0
