District,District Code,2019-20,2020-21,2021-22,2022-23,2023-24
Stratford School District,1380011,3.1,2.6,2.6,7.4,3.6
Suffield School District,1390011,*,*,3.0,*,*
The Bridge Academy District,2690013,*,*,*,*,0.0
The Gilbert School District,9020022,7.2,8.1,11.9,*,9.5
The Woodstock Academy District,9030022,2.0,2.5,*,*,*
Thomaston School District,1400011,*,0.0,0.0,0.0,*
Thompson School District,1410011,*,12.5,13.2,*,*
Tolland School District,1420011,*,*,*,*,0.0
Torrington School District,1430011,11.9,12.3,11.1,11.2,8.9
Trumbull School District,1440011,*,*,1.4,1.6,*
Unified School District #1,3360015,75.1,83.6,82.4,63.5,63.0
Unified School District #2,3470015,*,*,*,*,N/A
Vernon School District,1460011,11.8,16.7,10.2,13.4,6.3
Wallingford School District,1480011,3.8,2.8,3.8,5.5,2.6
Waterbury School District,1510011,11.4,8.9,8.0,11.8,7.9
Waterford School District,1520011,6.3,*,4.0,4.8,4.5
Watertown School District,1530011,3.9,7.1,7.1,5.6,5.9
West Hartford School District,1550011,2.8,1.3,2.2,2.3,1.7
West Haven School District,1560011,9.5,12.3,9.7,8.3,3.1
Westbrook School District,1540011,*,*,0.0,*,0.0
Weston School District,1570011,0.0,*,0.0,*,*
Westport School District,1580011,0.0,*,*,0.0,*
Wethersfield School District,1590011,*,*,2.4,5.9,*
Wilton School District,1610011,*,*,0.0,*,0.0
Windham School District,1630011,13.0,13.7,21.1,12.1,11.0
Windsor Locks School District,1650011,*,5.1,7.3,*,*
Windsor School District,1640011,3.0,6.2,*,4.4,3.7
Wolcott School District,1660011,*,4.9,*,4.0,3.7
