District,District Code,2019-20,2020-21,2021-22,2022-23,2023-24
Stamford School District,1350011,5.6,7.8,6.8,10.3,13.7
Stonington School District,1370011,3.7,*,3.7,*,*
Stratford School District,1380011,4.6,4.7,4.1,5.5,5.5
Suffield School District,1390011,*,*,*,*,*
The Bridge Academy District,2690013,15.4,*,*,0.0,*
The Gilbert School District,9020022,*,*,*,*,*
The Woodstock Academy District,9030022,2.4,*,2.2,*,*
Thomaston School District,1400011,*,*,*,*,0.0
Thompson School District,1410011,*,*,*,*,*
Tolland School District,1420011,3.3,*,*,3.2,*
Torrington School District,1430011,8.0,9.1,7.0,8.8,14.8
Trumbull School District,1440011,4.1,1.7,3.5,2.2,3.4
Unified School District #1,3360015,22.4,12.5,16.7,36.5,32.6
Unified School District #2,3470015,*,*,*,*,N/A
Vernon School District,1460011,5.9,5.9,8.0,5.4,4.8
Wallingford School District,1480011,2.5,2.6,4.0,3.9,6.5
Waterbury School District,1510011,6.5,7.4,9.0,7.0,6.4
Waterford School District,1520011,6.8,6.5,*,5.8,4.5
Watertown School District,1530011,3.9,4.9,2.9,5.6,6.9
West Hartford School District,1550011,5.3,3.6,4.3,4.9,6.0
West Haven School District,1560011,5.8,7.1,6.3,6.0,8.3
Westbrook School District,1540011,*,0.0,*,*,*
Weston School District,1570011,0.0,*,*,*,3.8
Westport School District,1580011,1.8,1.7,1.8,*,3.3
Wethersfield School District,1590011,3.2,4.5,*,2.9,3.7
Wilton School District,1610011,1.9,2.3,2.5,6.0,1.9
Windham School District,1630011,9.3,7.8,10.8,11.5,9.2
Windsor Locks School District,1650011,14.0,12.8,10.9,8.2,6.6
Windsor School District,1640011,9.2,9.6,10.8,9.8,11.1
Wolcott School District,1660011,*,3.3,*,*,6.1
