town,year,mean_rate
Litchfield,2019_20,NA
Litchfield,2020_21,NA
Litchfield,2021_22,NA
Litchfield,2022_23,NA
Litchfield,2023_24,NA
Madison,2019_20,NA
Madison,2020_21,NA
Madison,2021_22,NA
Madison,2022_23,NA
Madison,2023_24,NA
Manchester,2019_20,NA
Manchester,2020_21,NA
Manchester,2021_22,NA
Manchester,2022_23,NA
Manchester,2023_24,NA
Meriden,2019_20,NA
Meriden,2020_21,NA
Meriden,2021_22,NA
Meriden,2022_23,NA
Meriden,2023_24,NA
Middlebury,2019_20,NA
Middlebury,2020_21,NA
Middlebury,2021_22,NA
Middlebury,2022_23,NA
Middlebury,2023_24,NA
Middletown,2019_20,NA
Middletown,2020_21,NA
Middletown,2021_22,NA
Middletown,2022_23,NA
Middletown,2023_24,NA
Milford,2019_20,NA
Milford,2020_21,NA
Milford,2021_22,NA
Milford,2022_23,NA
Milford,2023_24,NA
Monroe,2019_20,NA
Monroe,2020_21,NA
Monroe,2021_22,NA
Monroe,2022_23,NA
Monroe,2023_24,NA
Moodus,2019_20,NA
Moodus,2020_21,NA
Moodus,2021_22,NA
Moodus,2022_23,NA
Moodus,2023_24,NA
Mystic,2019_20,NA
Mystic,2020_21,NA
Mystic,2021_22,NA
Mystic,2022_23,NA
Mystic,2023_24,NA
Naugatuck,2019_20,NA
Naugatuck,2020_21,NA
Naugatuck,2021_22,NA
Naugatuck,2022_23,NA
Naugatuck,2023_24,NA
New Britain,2019_20,NA
New Britain,2020_21,NA
New Britain,2021_22,NA
New Britain,2022_23,NA
New Britain,2023_24,NA
New Canaan,2019_20,NA
New Canaan,2020_21,NA
New Canaan,2021_22,NA
New Canaan,2022_23,NA
New Canaan,2023_24,NA
New Fairfield,2019_20,NA
New Fairfield,2020_21,NA
New Fairfield,2021_22,NA
New Fairfield,2022_23,NA
New Fairfield,2023_24,NA
New Haven,2019_20,NA
New Haven,2020_21,NA
New Haven,2021_22,NA
New Haven,2022_23,NA
New Haven,2023_24,NA
New London,2019_20,NA
New London,2020_21,NA
New London,2021_22,NA
New London,2022_23,NA
New London,2023_24,NA
New Milford,2019_20,NA
New Milford,2020_21,NA
New Milford,2021_22,NA
New Milford,2022_23,NA
New Milford,2023_24,NA
Newington,2019_20,NA
Newington,2020_21,NA
Newington,2021_22,NA
Newington,2022_23,NA
Newington,2023_24,NA
Newtown,2019_20,NA
Newtown,2020_21,NA
Newtown,2021_22,NA
Newtown,2022_23,NA
Newtown,2023_24,NA
North Grosvenor Dale,2019_20,NA
North Grosvenor Dale,2020_21,NA
North Grosvenor Dale,2021_22,NA
North Grosvenor Dale,2022_23,NA
North Grosvenor Dale,2023_24,NA
North Haven,2019_20,NA
North Haven,2020_21,NA
North Haven,2021_22,NA
North Haven,2022_23,NA
North Haven,2023_24,NA
North Stonington,2019_20,NA
North Stonington,2020_21,NA
North Stonington,2021_22,NA
North Stonington,2022_23,NA
North Stonington,2023_24,NA
Northford,2019_20,NA
Northford,2020_21,NA
Northford,2021_22,NA
Northford,2022_23,NA
Northford,2023_24,NA
Norwalk,2019_20,NA
Norwalk,2020_21,NA
Norwalk,2021_22,NA
Norwalk,2022_23,NA
Norwalk,2023_24,NA
Norwich,2019_20,NA
Norwich,2020_21,NA
