rptng_district_name,reporting_district_code,total_points,total_possible_points,fall_of_year,accountability_index
Andover School District,10011,547.2915008,600,2018,91.21525013
Ansonia School District,20011,968.7563491,1450,2018,66.8107827
Ashford School District,30011,643.1541535,900,2018,71.46157261
Avon School District,40011,1240.250737,1450,2018,85.53453356
Barkhamsted School District,50011,665.8520832,800,2018,83.23151041
Berlin School District,70011,1160.961191,1450,2018,80.06628903
Bethany School District,80011,646.6070962,800,2018,80.82588703
Bethel School District,90011,1188.087784,1450,2018,81.93708858
Bloomfield School District,110011,1042.915584,1450,2018,71.92521269
Bolton School District,120011,989.2578612,1250,2018,79.1406289
Bozrah School District,130011,657.8988597,900,2018,73.0998733
Branford School District,140011,1129.951726,1450,2018,77.92770526
Bridgeport School District,150011,887.2176996,1450,2018,61.18742756
Bristol School District,170011,1054.598017,1450,2018,72.73089773
Brookfield School District,180011,1229.002363,1450,2018,84.75878367
Brooklyn School District,190011,671.3221617,900,2018,74.5913513
Canaan School District,210011,329.1626295,450,2018,73.147251
Canterbury School District,220011,652.7865049,900,2018,72.53183388
Canton School District,230011,1112.904942,1350,2018,82.43740313
Chaplin School District,240011,537.6015318,750,2018,71.68020424
Cheshire School District,250011,1224.949816,1450,2018,84.47929768
Chester School District,260011,696.0147559,800,2018,87.00184448
Clinton School District,270011,1138.621491,1450,2018,78.52562006
Colchester School District,280011,1117.416793,1350,2018,82.77161429
Colebrook School District,290011,483.0083668,550,2018,87.81970305
Columbia School District,300011,691.3004207,900,2018,76.81115786
Cornwall School District,310011,456.077958,500,2018,91.21559159
Coventry School District,320011,1126.358851,1350,2018,83.43398893
Cromwell School District,330011,1216.077175,1450,2018,83.867391370000007
Danbury School District,340011,1052.916684,1450,2018,72.6149437
Darien School District,350011,1203.02875,1350,2018,89.11324076
Deep River School District,360011,654.7255148,800,2018,81.84068934
Derby School District,370011,999.459682,1450,2018,68.92825393
Eastford School District,390011,607.3182707,800,2018,75.91478384
East Granby School District,400011,1056.96197,1250,2018,84.55695758
East Haddam School District,410011,1109.746333,1350,2018,82.20343205
East Hampton School District,420011,1084.883297,1350,2018,80.36172571
East Hartford School District,430011,992.6938699,1450,2018,68.4616462
East Haven School District,440011,1010.605338,1450,2018,69.69691983
East Lyme School District,450011,1179.559468,1450,2018,81.34892883
Easton School District,460011,734.1560552,900,2018,81.57289503
East Windsor School District,470011,966.5950318,1450,2018,66.66172633
Ellington School District,480011,1173.431429,1450,2018,80.92630546
Enfield School District,490011,1050.325287,1450,2018,72.43622671
Essex School District,500011,774.2245402,850,2018,91.08524003
Fairfield School District,510011,1210.986522,1450,2018,83.51631183
Farmington School District,520011,1220.94183,1450,2018,84.20288482
Franklin School District,530011,635.3335435,800,2018,79.41669294
Glastonbury School District,540011,1210.697019,1450,2018,83.49634617
Granby School District,560011,1145.456101,1350,2018,84.84860009
Greenwich School District,570011,1265.857358,1450,2018,87.30050747
Griswold School District,580011,1024.730923,1350,2018,75.9059943
Groton School District,590011,1116.256665,1450,2018,76.98321827
Guilford School District,600011,1223.561104,1450,2018,84.38352439
Hamden School District,620011,1030.954153,1450,2018,71.10028644
Hampton School District,630011,407.757157,550,2018,74.13766491
Hartford School District,640011,868.8209225,1450,2018,59.91868431
Hartland School District,650011,737.2012639,850,2018,86.72956046
Hebron School District,670011,622.4879961,850,2018,73.2338819
Kent School District,680011,639.5370595,800,2018,79.94213244
Killingly School District,690011,1012.989638,1450,2018,69.86135431
Lebanon School District,710011,1071.794637,1350,2018,79.39219531
Ledyard School District,720011,1103.662044,1450,2018,76.11462374
Lisbon School District,730011,636.9851136,900,2018,70.77612373
Litchfield School District,740011,1132.314683,1350,2018,83.87516171
Madison School District,760011,1180.218002,1450,2018,81.39434499
Manchester School District,770011,940.9270969,1450,2018,64.89152393
Mansfield School District,780011,812.3464757,1000,2018,81.23464757
Marlborough School District,790011,623.105285,800,2018,77.88816062
Meriden School District,800011,1006.903426,1450,2018,69.44161561
Middletown School District,830011,1059.952115,1450,2018,73.10014587
Milford School District,840011,1183.686311,1450,2018,81.63353871
Monroe School District,850011,1139.312388,1350,2018,84.39351026
Montville School District,860011,1129.627659,1450,2018,77.9053558
Naugatuck School District,880011,1034.133032,1450,2018,71.31951943
New Britain School District,890011,805.3390881,1450,2018,55.54062677
New Canaan School District,900011,1282.171674,1450,2018,88.4256327
New Fairfield School District,910011,1161.613049,1450,2018,80.11124474
New Hartford School District,920011,573.0711467,800,2018,71.63389334
New Haven School District,930011,937.7193719,1450,2018,64.67030151
Newington School District,940011,1143.375258,1450,2018,78.85346604
New London School District,950011,915.9229666,1450,2018,63.16710115
New Milford School District,960011,1125.946127,1450,2018,77.65145704
Newtown School District,970011,1117.919028,1350,2018,82.80881689
Norfolk School District,980011,371.0363132,550,2018,67.46114786
North Branford School District,990011,1053.487932,1350,2018,78.03614309
North Canaan School District,1000011,702.5951072,900,2018,78.06612302
North Haven School District,1010011,1119.748939,1450,2018,77.22406479
North Stonington School District,1020011,1001.104552,1250,2018,80.08836417
Norwalk School District,1030011,1096.750826,1450,2018,75.637988000000007
Norwich School District,1040011,682.035965,1150,2018,59.30747522
Old Saybrook School District,1060011,1237.656028,1450,2018,85.35558815
Orange School District,1070011,731.7665032,950,2018,77.02805297
Oxford School District,1080011,1154.718926,1450,2018,79.63578797
Plainfield School District,1090011,1030.056823,1450,2018,71.0384016
Plainville School District,1100011,1107.981592,1450,2018,76.41252359
Plymouth School District,1110011,1136.91068,1450,2018,78.4076331
Pomfret School District,1120011,695.2268839,900,2018,77.24743155
Portland School District,1130011,1146.844388,1450,2018,79.09271639
Preston School District,1140011,658.0554075,900,2018,73.1172675
Putnam School District,1160011,1024.424969,1450,2018,70.64999784
Redding School District,1170011,739.643659,900,2018,82.18262877
Ridgefield School District,1180011,1251.168694,1450,2018,86.28749614
Rocky Hill School District,1190011,1205.265876,1450,2018,83.12178453
Salem School District,1210011,718.7354041,900,2018,79.85948934
Salisbury School District,1220011,668.545078,850,2018,78.65236211
Scotland School District,1230011,394.7517817,450,2018,87.72261816
Seymour School District,1240011,1103.306516,1450,2018,76.09010453
Sharon School District,1250011,674.7587172,800,2018,84.34483965
Shelton School District,1260011,1145.311517,1450,2018,78.98700116
Sherman School District,1270011,655.7599214,850,2018,77.14822605
Simsbury School District,1280011,1241.157459,1450,2018,85.59706611
Somers School District,1290011,1035.839489,1350,2018,76.72885103
Southington School District,1310011,1161.180367,1450,2018,80.08140459
South Windsor School District,1320011,1204.816244,1450,2018,83.09077543
Sprague School District,1330011,505.4799292,900,2018,56.16443658
Stafford School District,1340011,1024.162406,1350,2018,75.86388191
Stamford School District,1350011,1033.466599,1450,2018,71.27355858
Sterling School District,1360011,550.2213692,900,2018,61.13570769
Stonington School District,1370011,1105.715091,1350,2018,81.90482156
Stratford School District,1380011,1063.226595,1450,2018,73.32597205
Suffield School District,1390011,1112.946239,1400,2018,79.49615991
Thomaston School District,1400011,1054.147227,1350,2018,78.08497978
Thompson School District,1410011,899.3576237,1350,2018,66.61908324
Tolland School District,1420011,1079.999707,1350,2018,79.99997833
Torrington School District,1430011,986.5142107,1450,2018,68.03546281
Trumbull School District,1440011,1216.082838,1450,2018,83.86778191
Union School District,1450011,277.1149801,350,2018,79.1757086
Vernon School District,1460011,1080.604037,1450,2018,74.52441635
Voluntown School District,1470011,676.491253,850,2018,79.58720623
Wallingford School District,1480011,1100.574608,1450,2018,75.90169713
Waterbury School District,1510011,936.4970857,1450,2018,64.58600591
Waterford School District,1520011,1183.141424,1450,2018,81.59596027
Watertown School District,1530011,1107.227918,1450,2018,76.3605461
Westbrook School District,1540011,1215.803503,1450,2018,83.84851744
West Hartford School District,1550011,1182.469264,1450,2018,81.54960438
West Haven School District,1560011,1035.83642,1450,2018,71.4369945
Weston School District,1570011,1153.2645,1350,2018,85.427
Westport School District,1580011,1234.580936,1450,2018,85.14351285
Wethersfield School District,1590011,1149.329861,1450,2018,79.26412837
Willington School District,1600011,640.3985485,900,2018,71.15539428
Wilton School District,1610011,1147.240033,1350,2018,84.98074315
Winchester School District,1620011,753.5899117,950,2018,79.32525387
Windham School District,1630011,942.746213,1450,2018,65.01698021
Windsor School District,1640011,1100.011078,1450,2018,75.86283296
Windsor Locks School District,1650011,1039.16257,1450,2018,71.66638412
Wolcott School District,1660011,1164.527146,1450,2018,80.312217
Woodbridge School District,1670011,719.6813799,850,2018,84.66839763
Woodstock School District,1690011,637.9670719,900,2018,70.88523021
Regional School District 01,2010012,1141.931591,1450,2018,78.75390282
Regional School District 04,2040012,1040.443267,1350,2018,77.0698716
Regional School District 05,2050012,1121.120033,1350,2018,83.0459284
Regional School District 06,2060012,1077.733733,1350,2018,79.83212837
Regional School District 07,2070012,1081.759113,1350,2018,80.13030463
Regional School District 08,2080012,1020.108869,1350,2018,75.56361991
Regional School District 09,2090012,1278.00453,1450,2018,88.13824343
Regional School District 10,2100012,1177.852679,1450,2018,81.23121927
Regional School District 11,2110012,929.3010669,1350,2018,68.83711607
Regional School District 12,2120012,1032.779975,1250,2018,82.622398
Regional School District 13,2130012,1128.537533,1350,2018,83.59537279
Regional School District 14,2140012,1018.307072,1350,2018,75.43015345
Regional School District 15,2150012,1213.907702,1450,2018,83.71777257
Regional School District 16,2160012,1167.95194,1450,2018,80.54840966
Regional School District 17,2170012,1107.965776,1350,2018,82.071539
Regional School District 18,2180012,1082.932796,1250,2018,86.63462372
Regional School District 19,2190012,1235.665496,1450,2018,85.21831009
Capitol Region Education Council,2410014,987.564964,1450,2018,68.10792855
EdAdvance,2420014,122.6429442,550,2018,22.29871713
Cooperative Educational Services,2430014,548.5187328,1050,2018,52.23987931
Area Cooperative Educational Services,2440014,577.5215335,1250,2018,46.20172268
Learn,2450014,1065.068778,1450,2018,73.45301916
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,753.8329325,1350,2018,55.83947648
Jumoke Academy District,2610013,536.8870551,950,2018,56.51442685
Odyssey Community School District,2630013,740.4810177,1000,2018,74.04810177
Integrated Day Charter School District,2640013,733.7883083,1000,2018,73.37883083
Interdistrict School for Arts and Comm District,2650013,599.9756983,1000,2018,59.99756983
Common Ground High School District,2680013,944.7532746,1450,2018,65.15539825
The Bridge Academy District,2690013,803.825917,1350,2018,59.54266052
Side By Side Charter School District,2700013,684.334689,850,2018,80.50996341
Explorations District,2720013,494.952096,850,2018,58.22965835
Trailblazers Academy District,2780013,516.6174314,900,2018,57.40193682
Amistad Academy District,2790013,1158.911389,1450,2018,79.92492339
New Beginnings Inc Family Academy District,2800013,604.9302684,900,2018,67.21447426
Stamford Academy District,2820013,435.3489271,1250,2018,34.82791417
Park City Prep Charter School District,2830013,770.7972655,1000,2018,77.07972655
Achievement First Bridgeport Academy District,2850013,1172.408051,1450,2018,80.85572765
Highville Charter School District,2860013,908.8200758,1250,2018,72.70560606
Achievement First Hartford Academy District,2880013,1084.670881,1450,2018,74.80488835
Elm City College Preparatory School District,2890013,1027.213869,1350,2018,76.08991625
Brass City Charter School District,2900013,590.9068466,850,2018,69.51845255
Elm City Montessori School District,2910013,240.9075715,300,2018,80.30252384
Great Oaks Charter School District,2940013,506.4038069,1050,2018,48.22893399
Booker T. Washington Academy District,2950013,525.1458747,850,2018,61.78186761
Stamford Charter School for Excellence District,2960013,628.2322557,750,2018,83.76430075
Capital Preparatory Harbor School District,2970013,761.4837144,1250,2018,60.91869715
Unified School District #1,3360015,91.94613444,550,2018,16.71747899
Unified School District #2,3470015,159.0896199,450,2018,35.35324887
Connecticut Technical Education and Career System,9000016,1049.136171,1550,2018,67.68620458
Norwich Free Academy District,9010022,1071.205047,1550,2018,69.11000305
The Gilbert School District,9020022,989.6891171,1350,2018,73.31030497
The Woodstock Academy District,9030022,1135.428509,1450,2018,78.30541442
Andover School District,10011,377.0398599,550,2021,68.55270181
Ansonia School District,20011,890.7813102,1450,2021,61.43319381
Ashford School District,30011,551.5129911,900,2021,61.27922124
Avon School District,40011,1120.949332,1450,2021,77.30685047
Barkhamsted School District,50011,594.1663582,800,2021,74.27079478
Berlin School District,70011,1100.55097,1450,2021,75.9000669
Bethany School District,80011,636.9446837,800,2021,79.61808546
Bethel School District,90011,1146.914513,1450,2021,79.09755261
Bloomfield School District,110011,962.1690362,1450,2021,66.35648525
Bolton School District,120011,914.4568251,1250,2021,73.156546
Bozrah School District,130011,592.0790299,900,2021,65.78655888
Branford School District,140011,1030.031577,1450,2021,71.03666051
Bridgeport School District,150011,866.9361109,1450,2021,59.7886973
Bristol School District,170011,1054.176969,1450,2021,72.70185995
Brookfield School District,180011,1124.492717,1450,2021,77.55122186
Brooklyn School District,190011,574.4746319,900,2021,63.83051466
Canaan School District,210011,289.7011108,450,2021,64.37802462
Canterbury School District,220011,647.9285778,900,2021,71.9920642
Canton School District,230011,1016.543771,1350,2021,75.29953858
Chaplin School District,240011,494.4837466,750,2021,65.93116621
Cheshire School District,250011,1174.242763,1450,2021,80.9822595
Chester School District,260011,618.1084799,800,2021,77.26355998
Clinton School District,270011,1111.860576,1450,2021,76.68003972
Colchester School District,280011,1063.115113,1350,2021,78.74926763
Colebrook School District,290011,298.0395714,450,2021,66.23101588
Columbia School District,300011,697.7633432,900,2021,77.52926036
Cornwall School District,310011,654.0953292,800,2021,81.76191615
Coventry School District,320011,1049.545947,1350,2021,77.74414419
Cromwell School District,330011,1139.988653,1450,2021,78.61990711
Danbury School District,340011,969.0325922,1450,2021,66.82983394
Darien School District,350011,1242.34914,1450,2021,85.67925101
Deep River School District,360011,594.8348359,800,2021,74.35435449
Derby School District,370011,938.2329084,1450,2021,64.70571782
Eastford School District,390011,402.842625,600,2021,67.1404375
East Granby School District,400011,1061.878671,1350,2021,78.65767933
East Haddam School District,410011,990.4692004,1350,2021,73.36808892
East Hampton School District,420011,979.4353434,1350,2021,72.55076617
East Hartford School District,430011,966.7990785,1450,2021,66.67579852
East Haven School District,440011,990.0804273,1450,2021,68.28140878
East Lyme School District,450011,1160.946138,1450,2021,80.06525092
Easton School District,460011,719.4210218,900,2021,79.93566908
East Windsor School District,470011,990.956969,1450,2021,68.34185993
Ellington School District,480011,1156.723878,1450,2021,79.77406058
Enfield School District,490011,1009.584542,1450,2021,69.62652013
Essex School District,500011,691.7861163,800,2021,86.47326454
Fairfield School District,510011,1175.133132,1450,2021,81.04366429
Farmington School District,520011,1169.32733,1450,2021,80.64326416
Franklin School District,530011,427.6198841,600,2021,71.26998068
Glastonbury School District,540011,1177.102501,1450,2021,81.17948286
Granby School District,560011,1095.535674,1350,2021,81.15079069
Greenwich School District,570011,1193.208339,1450,2021,82.29023027
Griswold School District,580011,889.9058,1350,2021,65.91894815
Groton School District,590011,1021.039866,1450,2021,70.41654249
Guilford School District,600011,1228.788013,1450,2021,84.7440009
Hamden School District,620011,976.2815336,1450,2021,67.32976094
Hampton School District,630011,203.1549902,400,2021,50.78874756
Hartford School District,640011,823.4261162,1450,2021,56.78800801
Hartland School District,650011,576.2195977,800,2021,72.02744972
Hebron School District,670011,588.4171507,800,2021,73.55214383
Kent School District,680011,511.7450438,800,2021,63.96813048
Killingly School District,690011,991.0031454,1450,2021,68.34504451
Lebanon School District,710011,965.7586502,1350,2021,71.53767779
Ledyard School District,720011,994.8383568,1450,2021,68.60954185
Lisbon School District,730011,649.0608398,900,2021,72.11787109
Litchfield School District,740011,1060.856217,1350,2021,78.581942
Madison School District,760011,1195.657587,1450,2021,82.45914396
Manchester School District,770011,876.9769152,1450,2021,60.48116656
Mansfield School District,780011,722.6603738,1000,2021,72.26603738
Marlborough School District,790011,651.0380708,800,2021,81.37975886
Meriden School District,800011,953.1232994,1450,2021,65.73264134
Middletown School District,830011,957.9485071,1450,2021,66.06541428
Milford School District,840011,1077.872779,1450,2021,74.33605375
Monroe School District,850011,1181.529559,1450,2021,81.48479715
Montville School District,860011,1040.866346,1450,2021,71.78388596
Naugatuck School District,880011,917.0141835,1450,2021,63.24235748
New Britain School District,890011,818.2151218,1450,2021,56.42862909
New Canaan School District,900011,1145.814672,1350,2021,84.87516086
New Fairfield School District,910011,1128.612428,1450,2021,77.83533989
New Hartford School District,920011,607.6361235,850,2021,71.48660276
New Haven School District,930011,882.9233063,1450,2021,60.89126251
Newington School District,940011,1108.09644,1450,2021,76.42044417
New London School District,950011,831.4069474,1450,2021,57.33841016
New Milford School District,960011,1002.717588,1450,2021,69.1529371
Newtown School District,970011,1143.723501,1450,2021,78.87748282
Norfolk School District,980011,264.0569448,400,2021,66.014236210000007
North Branford School District,990011,1068.706209,1350,2021,79.16342291
North Canaan School District,1000011,683.8125205,900,2021,75.97916895
North Haven School District,1010011,1135.619172,1450,2021,78.31856355
North Stonington School District,1020011,953.4934589,1250,2021,76.27947671
Norwalk School District,1030011,1002.688477,1450,2021,69.15092947
Norwich School District,1040011,583.5186544,1150,2021,50.74075255
Old Saybrook School District,1060011,1185.101628,1450,2021,81.73114676
Orange School District,1070011,756.0209507,950,2021,79.58115271
Oxford School District,1080011,1111.595602,1450,2021,76.66176569
Plainfield School District,1090011,963.1587692,1450,2021,66.4247427
Plainville School District,1100011,1021.601612,1450,2021,70.4552836
Plymouth School District,1110011,946.3807023,1350,2021,70.10227425
Pomfret School District,1120011,567.0459689,850,2021,66.71129046
Portland School District,1130011,1098.066526,1450,2021,75.7287259
Preston School District,1140011,545.7049762,900,2021,60.63388625
Putnam School District,1160011,932.7538533,1450,2021,64.32785195
Redding School District,1170011,729.0638934,900,2021,81.00709927
Ridgefield School District,1180011,1172.75989,1450,2021,80.87999242
Rocky Hill School District,1190011,1184.394256,1450,2021,81.6823625
Salem School District,1210011,629.1246831,900,2021,69.90274256
Salisbury School District,1220011,592.1002452,850,2021,69.65885237
Scotland School District,1230011,335.9599738,550,2021,61.08363161
Seymour School District,1240011,1086.066796,1450,2021,74.90115837
Sharon School District,1250011,540.2530428,800,2021,67.53163035
Shelton School District,1260011,1110.312838,1450,2021,76.57329917
Sherman School District,1270011,555.5640501,850,2021,65.36047649
Simsbury School District,1280011,1170.240856,1450,2021,80.70626591
Somers School District,1290011,1013.496949,1350,2021,75.07384807
Southington School District,1310011,1096.150586,1450,2021,75.59659217
South Windsor School District,1320011,1192.578222,1450,2021,82.24677393
Sprague School District,1330011,537.7182452,900,2021,59.74647169
Stafford School District,1340011,981.5614414,1350,2021,72.70825492
Stamford School District,1350011,939.6280963,1450,2021,64.80193768
Sterling School District,1360011,473.9276676,900,2021,52.65862974
Stonington School District,1370011,1066.663267,1350,2021,79.01209382
Stratford School District,1380011,999.8668967,1450,2021,68.9563377
Suffield School District,1390011,1146.336766,1450,2021,79.05770797
Thomaston School District,1400011,1056.611418,1350,2021,78.26751242
Thompson School District,1410011,883.5736024,1350,2021,65.44989648
Tolland School District,1420011,1045.343518,1350,2021,77.43285316
Torrington School District,1430011,964.1751018,1450,2021,66.49483461
Trumbull School District,1440011,1240.917626,1450,2021,85.5805259
Union School District,1450011,199.1889532,350,2021,56.91112949
Vernon School District,1460011,1068.179439,1450,2021,73.66754752
Voluntown School District,1470011,656.9897789,850,2021,77.29291517
Wallingford School District,1480011,999.2972538,1450,2021,68.91705199
Waterbury School District,1510011,867.9672357,1450,2021,59.85980936
Waterford School District,1520011,1154.021761,1450,2021,79.58770768
Watertown School District,1530011,1112.630376,1450,2021,76.73312936
Westbrook School District,1540011,1132.205627,1450,2021,78.08314667
West Hartford School District,1550011,1101.583303,1450,2021,75.97126231
West Haven School District,1560011,952.6304041,1450,2021,65.69864856
Weston School District,1570011,1138.414701,1350,2021,84.32701492
Westport School District,1580011,1181.427556,1450,2021,81.47776247
Wethersfield School District,1590011,1098.320606,1450,2021,75.74624869
Willington School District,1600011,579.6229887,900,2021,64.4025543
Wilton School District,1610011,1213.196824,1350,2021,89.86643138
Winchester School District,1620011,598.2804209,850,2021,70.38593187
Windham School District,1630011,880.2263193,1450,2021,60.7052634
Windsor School District,1640011,998.7488094,1450,2021,68.87922823
Windsor Locks School District,1650011,1024.508376,1450,2021,70.65575008
Wolcott School District,1660011,1123.234223,1450,2021,77.46442915
Woodbridge School District,1670011,715.5109216,850,2021,84.17775548
Woodstock School District,1690011,667.6012291,900,2021,74.17791435
Regional School District 01,2010012,994.144312,1450,2021,68.56167669
Regional School District 04,2040012,907.1970536,1350,2021,67.19978175
Regional School District 05,2050012,1080.663546,1350,2021,80.04915158
Regional School District 06,2060012,1001.594797,1350,2021,74.19220715
Regional School District 07,2070012,984.2171285,1350,2021,72.90497248
Regional School District 08,2080012,1017.99917,1350,2021,75.40734594
Regional School District 09,2090012,1197.572257,1450,2021,82.59119012
Regional School District 10,2100012,1140.602741,1450,2021,78.66225797
Regional School District 11,2110012,961.2097627,1350,2021,71.20072316
Regional School District 12,2120012,1035.445734,1350,2021,76.69968402
Regional School District 13,2130012,1025.547003,1350,2021,75.96644469
Regional School District 14,2140012,1036.106189,1350,2021,76.74860659
Regional School District 15,2150012,1089.706255,1450,2021,75.15215555
Regional School District 16,2160012,1184.640854,1450,2021,81.69936926
Regional School District 17,2170012,1108.665848,1350,2021,82.12339614
Regional School District 18,2180012,1181.490057,1450,2021,81.4820729
Regional School District 19,2190012,1125.901448,1450,2021,77.64837574
Goodwin University Educational Services (GUES),2310018,693.7114988,1150,2021,60.32273903
Capitol Region Education Council,2410014,888.4794648,1450,2021,61.27444585
EdAdvance,2420014,63.37405027,350,2021,18.10687151
Cooperative Educational Services,2430014,598.9782644,1150,2021,52.08506647
Area Cooperative Educational Services,2440014,557.0385747,1250,2021,44.56308598
Learn,2450014,1069.780058,1450,2021,73.77793501
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,726.9980795,1350,2021,53.85170959
Jumoke Academy District,2610013,450.1690597,950,2021,47.38621681
Odyssey Community School District,2630013,689.765663,1000,2021,68.9765663
Integrated Day Charter School District,2640013,630.5784719,900,2021,70.06427466
Interdistrict School for Arts and Comm District,2650013,552.3469391,1000,2021,55.23469391
Common Ground High School District,2680013,849.150717,1450,2021,58.56211842
The Bridge Academy District,2690013,915.6101331,1350,2021,67.82297282
Side By Side Charter School District,2700013,721.3228657,950,2021,75.9287227
Explorations District,2720013,156.0318148,350,2021,44.58051853
Amistad Academy District,2790013,1020.982379,1450,2021,70.41257787
New Beginnings Inc Family Academy District,2800013,557.7387199,900,2021,61.97096888
Park City Prep Charter School District,2830013,726.9616045,1000,2021,72.69616045
Achievement First Bridgeport Academy District,2850013,970.0069912,1450,2021,66.89703387
Highville Charter School District,2860013,539.4014544,1050,2021,51.37156708
Achievement First Hartford Academy District,2880013,992.3334343,1450,2021,68.43678857
Elm City College Preparatory School District,2890013,953.1120418,1450,2021,65.73186495
Brass City Charter School District,2900013,597.7963103,900,2021,66.42181225
Elm City Montessori School District,2910013,431.438556,800,2021,53.9298195
Great Oaks Charter School District,2940013,658.9418276,1350,2021,48.81050575
Booker T. Washington Academy District,2950013,503.8045185,900,2021,55.97827984
Stamford Charter School for Excellence District,2960013,772.9240937,950,2021,81.36043092
Capital Preparatory Harbor School District,2970013,982.4091081,1450,2021,67.75235228
Unified School District #1,3360015,9.766979474,550,2021,1.77581445
Unified School District #2,3470015,61.2830432,250,2021,24.51321728
Connecticut Technical Education and Career System,9000016,930.4242589,1550,2021,60.02737154
Norwich Free Academy District,9010022,972.7459281,1550,2021,62.75780181
The Gilbert School District,9020022,832.5318303,1350,2021,61.66902446
The Woodstock Academy District,9030022,1021.615077,1350,2021,75.6751909
Andover School District,10011,533.8696976,750,2022,71.18262635
Ansonia School District,20011,906.7376998,1450,2022,62.53363447
Ashford School District,30011,565.4692103,900,2022,62.82991225
Avon School District,40011,1144.791853,1450,2022,78.95116228
Barkhamsted School District,50011,582.8165163,800,2022,72.85206454
Berlin School District,70011,1123.612665,1450,2022,77.49052864
Bethany School District,80011,782.4231717,950,2022,82.36033387
Bethel School District,90011,1136.009063,1450,2022,78.34545264
Bloomfield School District,110011,967.2462406,1450,2022,66.70663728
Bolton School District,120011,943.5421803,1250,2022,75.48337442
Bozrah School District,130011,678.0277952,850,2022,79.76797591
Branford School District,140011,1071.834393,1450,2022,73.91961331
Bridgeport School District,150011,821.6861678,1450,2022,56.66801157
Bristol School District,170011,1019.052658,1450,2022,70.27949367
Brookfield School District,180011,1164.258527,1450,2022,80.29369154
Brooklyn School District,190011,564.7645573,900,2022,62.75161748
Canaan School District,210011,310.2341451,450,2022,68.94092113
Canterbury School District,220011,687.7933019,900,2022,76.42147798
Canton School District,230011,1007.804385,1350,2022,74.65217665
Chaplin School District,240011,520.0047164,750,2022,69.33396219
Cheshire School District,250011,1200.704173,1450,2022,82.80718436
Chester School District,260011,564.2286441,800,2022,70.52858051
Clinton School District,270011,1090.726557,1450,2022,75.22252116
Colchester School District,280011,1115.682517,1450,2022,76.94362186
Colebrook School District,290011,459.3170692,550,2022,83.5121944
Columbia School District,300011,598.7013179,900,2022,66.52236866
Cornwall School District,310011,461.8393014,600,2022,76.97321691
Coventry School District,320011,1065.075758,1350,2022,78.89450059
Cromwell School District,330011,1083.901719,1450,2022,74.75184272
Danbury School District,340011,964.7788006,1450,2022,66.53646901
Darien School District,350011,1239.69222,1450,2022,85.4960152
Deep River School District,360011,527.9459246,800,2022,65.99324057
Derby School District,370011,893.5804173,1450,2022,61.62623567
Eastford School District,390011,581.067805,750,2022,77.47570733
East Granby School District,400011,972.7469989,1250,2022,77.81975991
East Haddam School District,410011,1025.744901,1350,2022,75.98110376
East Hampton School District,420011,1021.911875,1350,2022,75.69717594
East Hartford School District,430011,962.925658,1450,2022,66.40866607
East Haven School District,440011,962.7318002,1450,2022,66.39529657
East Lyme School District,450011,1170.889013,1450,2022,80.75096644
Easton School District,460011,711.217262,900,2022,79.02414022
East Windsor School District,470011,944.8041893,1450,2022,65.15890961
Ellington School District,480011,1160.645615,1450,2022,80.04452518
Enfield School District,490011,980.9420105,1450,2022,67.65117314
Essex School District,500011,574.2008854,800,2022,71.77511068
Fairfield School District,510011,1149.298874,1450,2022,79.26199134
Farmington School District,520011,1225.066893,1450,2022,84.48737194
Franklin School District,530011,362.5503835,500,2022,72.51007669
Glastonbury School District,540011,1177.469097,1450,2022,81.20476533
Granby School District,560011,1101.877426,1350,2022,81.62055008
Greenwich School District,570011,1195.811869,1450,2022,82.46978405
Griswold School District,580011,962.475187,1350,2022,71.2944583
Groton School District,590011,983.9350968,1450,2022,67.85759288
Guilford School District,600011,1194.947864,1450,2022,82.4101975
Hamden School District,620011,959.1890966,1450,2022,66.15097218
Hampton School District,630011,235.9764254,400,2022,58.99410635
Hartford School District,640011,828.7686925,1450,2022,57.15646155
Hartland School District,650011,518.5451831,600,2022,86.42419718
Hebron School District,670011,659.6553469,850,2022,77.60651141
Kent School District,680011,595.6899741,800,2022,74.46124677
Killingly School District,690011,929.1304648,1450,2022,64.07796309
Lebanon School District,710011,980.0146741,1350,2022,72.59367956
Ledyard School District,720011,1017.206352,1450,2022,70.15216224
Lisbon School District,730011,664.8072719,900,2022,73.86747465
Litchfield School District,740011,1113.853681,1350,2022,82.50768006
Madison School District,760011,1260.946745,1450,2022,86.9618445
Manchester School District,770011,879.0777216,1450,2022,60.62604977
Mansfield School District,780011,686.5487336,1000,2022,68.65487336
Marlborough School District,790011,597.4602976,800,2022,74.6825372
Meriden School District,800011,962.3497207,1450,2022,66.36894626
Middletown School District,830011,941.1516227,1450,2022,64.90700847
Milford School District,840011,1067.867098,1450,2022,73.64600677
Monroe School District,850011,1166.927084,1450,2022,80.47772995
Montville School District,860011,1049.131237,1450,2022,72.35387845
Naugatuck School District,880011,938.1882197,1450,2022,64.70263584
New Britain School District,890011,812.158142,1450,2022,56.01090635
New Canaan School District,900011,1173.173865,1350,2022,86.90176774
New Fairfield School District,910011,1111.249326,1450,2022,76.63788454
